id,user_msg,processed_intent,processed_class,processed_attributes,processed_filter_attributes,expected_intent,expected_class,expected_attributes,expected_filter_attributes,evaluation1_error_type,evaluation2_error_type,evaluation2_error_description
21,"include outcome value 900, date is today, and description is ""adjusting the numbers""",ADD,outcome,"{""value"": ""900"", ""date"": ""today"", ""description"": ""adjusting the numbers""}",,ADD,outcome,"{""value"": ""900"", ""date"": ""today"", ""description"": ""adjusting the numbers""}",,,assertion,"'outcome' != 'greeting'
- outcome
+ greeting
 : entity class not correct.
processed_class=GREETING
expected_class=outcome
user_msg: include outcome value 900, date is today, and description is ""adjusting the numbers"""
22,get invoices,READ,invoice,,,READ,invoice,,,,assertion,"'invoice' != 'greeting'
- invoice
+ greeting
 : entity class not correct.
processed_class=GREETING
expected_class=invoice
user_msg: get invoices"
23,"add a test with scope=module x, date=01/01/2022, timeout = 100, limit=10",ADD,test,"{""scope"": ""Module X"", ""date"": ""01/01/2022"", ""timeout"": ""100"", ""limit"": ""10""}",,ADD,test,"{""scope"": ""Module X"", ""date"": ""01/01/2022"", ""timeout"": ""100"", ""limit"": ""10""}",,,assertion,"'test' != 'x'
- test
+ x
 : entity class not correct.
processed_class=X
expected_class=test
user_msg: add a test with scope=module x, date=01/01/2022, timeout = 100, limit=10"
24,add a test with scope=module y and number = 8,ADD,test,"{""scope"": ""Module Y"", ""number"": ""8""}",,ADD,test,"{""scope"": ""Module Y"", ""number"": ""8""}",,,assertion,"'test' != 'y'
- test
+ y
 : entity class not correct.
processed_class=Y
expected_class=test
user_msg: add a test with scope=module y and number = 8"
25,"add student with name=anderson, age=199",ADD,student,"{""name"": ""Anderson"", ""age"": ""199""}",,ADD,student,"{""name"": ""Anderson"", ""age"": ""199""}",,,assertion,"'student' != 'greeting'
- student
+ greeting
 : entity class not correct.
processed_class=GREETING
expected_class=student
user_msg: add student with name=anderson, age=199"
26,"delete student name is anderson, and age is 199",DELETE,student,"{""name"": ""Anderson"", ""age"": ""199""}",,DELETE,student,"{""name"": ""Anderson"", ""age"": ""199""}",,,assertion,"'student' != 'greeting'
- student
+ greeting
 : entity class not correct.
processed_class=GREETING
expected_class=student
user_msg: delete student name is anderson, and age is 199"
27,"add article with title=the title, author=the author",ADD,article,"{""title"": ""The title"", ""author"": ""The author""}",,ADD,article,"{""title"": ""The title"", ""author"": ""The author""}",,,assertion,"'article' != 'greeting'
- article
+ greeting
 : entity class not correct.
processed_class=GREETING
expected_class=article
user_msg: add article with title=the title, author=the author"
28,"update article with title ""the title"" and author ""the author"" set the title to ""the new title""",UPDATE,article,"{""title"": ""The new title""}","{""title"": ""The title"", ""author"": ""The author""}",UPDATE,article,"{""title"": ""The new title""}","{""title"": ""The title"", ""author"": ""The author""}",,assertion,"'article' != 'greeting'
- article
+ greeting
 : entity class not correct.
processed_class=GREETING
expected_class=article
user_msg: update article with title ""the title"" and author ""the author"" set the title to ""the new title"""
29,add article with author=anderson,ADD,article,"{""author"": ""Anderson""}",,ADD,article,"{""author"": ""Anderson""}",,,assertion,"'article' != 'greeting'
- article
+ greeting
 : entity class not correct.
processed_class=GREETING
expected_class=article
user_msg: add article with author=anderson"
30,"delete article when author=""anderson""",DELETE,article,"{""author"": ""Anderson""}",,DELETE,article,"{""author"": ""Anderson""}",,,assertion,"'article' != 'greeting'
- article
+ greeting
 : entity class not correct.
processed_class=GREETING
expected_class=article
user_msg: delete article when author=""anderson"""
31,show me the articles,READ,article,,,READ,article,,,,assertion,"'article' != 'greeting'
- article
+ greeting
 : entity class not correct.
processed_class=GREETING
expected_class=article
user_msg: show me the articles"
32,"add article with title=the title, author=the author, abstract=the abstract, keywords=the keywords",ADD,article,"{""title"": ""The title"", ""author"": ""The author"", ""abstract"": ""The abstract"", ""keywords"": ""The keywords""}",,ADD,article,"{""title"": ""The title"", ""author"": ""The author"", ""abstract"": ""The abstract"", ""keywords"": ""The keywords""}",,,assertion,"'article' != 'greeting'
- article
+ greeting
 : entity class not correct.
processed_class=GREETING
expected_class=article
user_msg: add article with title=the title, author=the author, abstract=the abstract, keywords=the keywords"
33,"update article with title ""the title"", setting the co-author as ""anderson gomes""",UPDATE,article,"{""co_author"": ""Anderson Gomes""}","{""title"": ""The title""}",UPDATE,article,"{""co_author"": ""Anderson Gomes""}","{""title"": ""The title""}",,assertion,"'article' != 'greeting'
- article
+ greeting
 : entity class not correct.
processed_class=GREETING
expected_class=article
user_msg: update article with title ""the title"", setting the co-author as ""anderson gomes"""
34,"update article with id=1, setting the first author as ""paulo maia""",UPDATE,article,"{""first_author"": ""Paulo Maia""}","{""id"": ""1""}",UPDATE,article,"{""first_author"": ""Paulo Maia""}","{""id"": ""1""}",,assertion,"'article' != 'id'
- article
+ id
 : entity class not correct.
processed_class=id
expected_class=article
user_msg: update article with id=1, setting the first author as ""paulo maia"""
35,hi,GREETING,,,,GREETING,,,,,,
36,hello! nice to meet you!,GREETING,,,,GREETING,,,,,,
37,good morning!,GREETING,,,,GREETING,,,,,,
38,help,HELP,,,,HELP,,,,,,
39,i want to know how to use the bot,HELP,,,,HELP,,,,,assertion,"<Intent.HELP: 'HELP'> != <Intent.GREETING: 'GREETING'> : intent not correct.
processed_intent = GREETING
expected_intent = HELP
user_msg: i want to know how to use the bot"
40,"please, help me!",HELP,,,,HELP,,,,,,
41,show all students,READ,student,,,READ,student,,,,assertion,"'student' != 'greeting'
- student
+ greeting
 : entity class not correct.
processed_class=GREETING
expected_class=student
user_msg: show all students"
42,view students,READ,student,,,READ,student,,,,assertion,"'student' != 'greeting'
- student
+ greeting
 : entity class not correct.
processed_class=GREETING
expected_class=student
user_msg: view students"
43,fetch the students,READ,student,,,READ,student,,,,assertion,"'student' != 'greeting'
- student
+ greeting
 : entity class not correct.
processed_class=GREETING
expected_class=student
user_msg: fetch the students"
44,get the students,READ,student,,,READ,student,,,,assertion,"'student' != 'greeting'
- student
+ greeting
 : entity class not correct.
processed_class=GREETING
expected_class=student
user_msg: get the students"
45,"for the students with name='anderson', update the name to 'anderson martins'",UPDATE,student,"{""name"": ""Anderson Martins""}","{""name"": ""Anderson""}",UPDATE,student,"{""name"": ""Anderson Martins""}","{""name"": ""Anderson""}",,assertion,"'student' != 'greeting'
- student
+ greeting
 : entity class not correct.
processed_class=GREETING
expected_class=student
user_msg: for the students with name='anderson', update the name to 'anderson martins'"
46,please change student with name paulo update age to 30,UPDATE,student,"{""age"": ""30""}","{""name"": ""Paulo""}",UPDATE,student,"{""age"": ""30""}","{""name"": ""Paulo""}",,assertion,"'student' != 'greeting'
- student
+ greeting
 : entity class not correct.
processed_class=GREETING
expected_class=student
user_msg: please change student with name paulo update age to 30"
47,"for students with name anderson, update age to 30",UPDATE,student,"{""age"": ""30""}","{""name"": ""Anderson""}",UPDATE,student,"{""age"": ""30""}","{""name"": ""Anderson""}",,assertion,"'student' != 'greeting'
- student
+ greeting
 : entity class not correct.
processed_class=GREETING
expected_class=student
user_msg: for students with name anderson, update age to 30"
48,"for students, update age to 30",UPDATE,student,,,UPDATE,student,,,,assertion,"'student' != 'greeting'
- student
+ greeting
 : entity class not correct.
processed_class=GREETING
expected_class=student
user_msg: for students, update age to 30"
49,update students,UPDATE,student,,,UPDATE,student,,,,assertion,"'student' != 'greeting'
- student
+ greeting
 : entity class not correct.
processed_class=GREETING
expected_class=student
user_msg: update students"
50,"please, when students have the name equal to anderson, update the age to 30.",UPDATE,student,"{""age"": ""30""}","{""name"": ""Anderson""}",UPDATE,student,"{""age"": ""30""}","{""name"": ""Anderson""}",,assertion,"<Intent.UPDATE: 'UPDATE'> != <Intent.GREETING: 'GREETING'> : intent not correct.
processed_intent = GREETING
expected_intent = UPDATE
user_msg: please, when students have the name equal to anderson, update the age to 30."
51,update students setting the age to 42 when name is anderson,UPDATE,student,"{""age"": ""42""}","{""name"": ""Anderson""}",UPDATE,student,"{""age"": ""42""}","{""name"": ""Anderson""}",,assertion,"'student' != 'greeting'
- student
+ greeting
 : entity class not correct.
processed_class=GREETING
expected_class=student
user_msg: update students setting the age to 42 when name is anderson"
52,update students set the age to 42 when name is anderson,UPDATE,student,"{""age"": ""42""}","{""name"": ""Anderson""}",UPDATE,student,"{""age"": ""42""}","{""name"": ""Anderson""}",,assertion,"'student' != 'greeting'
- student
+ greeting
 : entity class not correct.
processed_class=GREETING
expected_class=student
user_msg: update students set the age to 42 when name is anderson"
53,set students with age to 42 when name is anderson,UPDATE,student,"{""age"": ""42""}","{""name"": ""Anderson""}",UPDATE,student,"{""age"": ""42""}","{""name"": ""Anderson""}",,assertion,"'student' != 'greeting'
- student
+ greeting
 : entity class not correct.
processed_class=GREETING
expected_class=student
user_msg: set students with age to 42 when name is anderson"
54,"for students with name anderson, update the age to 42",UPDATE,student,"{""age"": ""42""}","{""name"": ""Anderson""}",UPDATE,student,"{""age"": ""42""}","{""name"": ""Anderson""}",,assertion,"'student' != 'greeting'
- student
+ greeting
 : entity class not correct.
processed_class=GREETING
expected_class=student
user_msg: for students with name anderson, update the age to 42"
55,please change student with name anderson update age to 30,UPDATE,student,"{""age"": ""30""}","{""name"": ""Anderson""}",UPDATE,student,"{""age"": ""30""}","{""name"": ""Anderson""}",,assertion,"'student' != 'greeting'
- student
+ greeting
 : entity class not correct.
processed_class=GREETING
expected_class=student
user_msg: please change student with name anderson update age to 30"
56,"please, change the student with name='anderson', updating the age to 30",UPDATE,student,"{""age"": ""30""}","{""name"": ""Anderson""}",UPDATE,student,"{""age"": ""30""}","{""name"": ""Anderson""}",,assertion,"'student' != 'greeting'
- student
+ greeting
 : entity class not correct.
processed_class=GREETING
expected_class=student
user_msg: please, change the student with name='anderson', updating the age to 30"
57,"update the age to 42, for students with name='anderson'",UPDATE,student,"{""age"": ""42""}","{""name"": ""Anderson""}",UPDATE,student,"{""age"": ""42""}","{""name"": ""Anderson""}",,assertion,"'student' != 'greeting'
- student
+ greeting
 : entity class not correct.
processed_class=GREETING
expected_class=student
user_msg: update the age to 42, for students with name='anderson'"
58,add a student with name joseph,ADD,student,"{""name"": ""Joseph""}",,ADD,student,"{""name"": ""Joseph""}",,,assertion,"'student' != 'greeting'
- student
+ greeting
 : entity class not correct.
processed_class=GREETING
expected_class=student
user_msg: add a student with name joseph"
59,get students,READ,student,,,READ,student,,,,assertion,"'student' != 'greeting'
- student
+ greeting
 : entity class not correct.
processed_class=GREETING
expected_class=student
user_msg: get students"
60,help me,HELP,,,,HELP,,,,,,
61,hi!,GREETING,,,,GREETING,,,,,,
62,add article with title 'dome: a no-code tool',ADD,article,"{""title"": ""DomE: A no-code tool""}",,ADD,article,"{""title"": ""DomE: A no-code tool""}",,,assertion,"'article' != 'greeting'
- article
+ greeting
 : entity class not correct.
processed_class=GREETING
expected_class=article
user_msg: add article with title 'dome: a no-code tool'"
63,get articles,READ,article,,,READ,article,,,,assertion,"'article' != 'greeting'
- article
+ greeting
 : entity class not correct.
processed_class=GREETING
expected_class=article
user_msg: get articles"
64,"update the articles with id=1, setting the title='new title'",UPDATE,article,"{""title"": ""new title""}","{""id"": ""1""}",UPDATE,article,"{""title"": ""new title""}","{""id"": ""1""}",,assertion,"'article' != 'greeting'
- article
+ greeting
 : entity class not correct.
processed_class=GREETING
expected_class=article
user_msg: update the articles with id=1, setting the title='new title'"
65,"add article with title='title 2', author='rodrigo'",ADD,article,"{""title"": ""title 2"", ""author"": ""Rodrigo""}",,ADD,article,"{""title"": ""title 2"", ""author"": ""Rodrigo""}",,,assertion,"'article' != 'greeting'
- article
+ greeting
 : entity class not correct.
processed_class=GREETING
expected_class=article
user_msg: add article with title='title 2', author='rodrigo'"
66,"update the articles with id=1, setting the co-author='layza'",UPDATE,article,"{""co_author"": ""Layza""}","{""id"": ""1""}",UPDATE,article,"{""co_author"": ""Layza""}","{""id"": ""1""}",,assertion,"'article' != 'greeting'
- article
+ greeting
 : entity class not correct.
processed_class=GREETING
expected_class=article
user_msg: update the articles with id=1, setting the co-author='layza'"
67,delete the article with id=1,DELETE,article,"{""id"": ""1""}",,DELETE,article,"{""id"": ""1""}",,,assertion,"'article' != 'greeting'
- article
+ greeting
 : entity class not correct.
processed_class=GREETING
expected_class=article
user_msg: delete the article with id=1"
68,jsdakflçdjskflsjfklsa,MEANINGLESS,,,,MEANINGLESS,,,,,,
69,can you help me?,HELP,,,,HELP,,,,,,
70,add a student with age=45,ADD,student,"{""age"": ""45""}",,ADD,student,"{""age"": ""45""}",,,assertion,"'student' != 'none'
- student
+ none
 : entity class not correct.
processed_class=None
expected_class=student
user_msg: add a student with age=45"
71,show students,READ,student,,,READ,student,,,,assertion,"'student' != 'greeting'
- student
+ greeting
 : entity class not correct.
processed_class=GREETING
expected_class=student
user_msg: show students"
72,"include company with name=acme, address=150 coconut street",ADD,company,"{""name"": ""ACME"", ""address"": ""150 Coconut Street""}",,ADD,company,"{""name"": ""ACME"", ""address"": ""150 Coconut Street""}",,,assertion,"'company' != 'help'
- company
+ help
 : entity class not correct.
processed_class=HELP
expected_class=company
user_msg: include company with name=acme, address=150 coconut street"
73,list companies,READ,company,,,READ,company,,,,assertion,"'company' != 'greeting'
- company
+ greeting
 : entity class not correct.
processed_class=GREETING
expected_class=company
user_msg: list companies"
74,"add another company with name=caju enterprises, owner=anderson gomes and address=200 cumbuco street",ADD,company,"{""name"": ""Caju Enterprises"", ""owner"": ""Anderson Gomes"", ""address"": ""200 Cumbuco Street""}",,ADD,company,"{""name"": ""Caju Enterprises"", ""owner"": ""Anderson Gomes"", ""address"": ""200 Cumbuco Street""}",,,assertion,"'company' != 'greeting'
- company
+ greeting
 : entity class not correct.
processed_class=GREETING
expected_class=company
user_msg: add another company with name=caju enterprises, owner=anderson gomes and address=200 cumbuco street"
75,which company has caju in its name?,MEANINGLESS,,,,READ,company,"{""name"": ""caju""}",,assertion,assertion,"<Intent.READ: 'READ'> != <Intent.MEANINGLESS: 'MEANINGLESS'> : intent not correct.
processed_intent = MEANINGLESS
expected_intent = READ
user_msg: which company has caju in its name?"
76,"is there a company with ""caju"" in its name?",READ,company,,,READ,company,"{""name"": ""caju""}",,assertion,assertion,"<Intent.READ: 'READ'> != <Intent.GREETING: 'GREETING'> : intent not correct.
processed_intent = GREETING
expected_intent = READ
user_msg: is there a company with ""caju"" in its name?"
77,delete the company whose name is acme,DELETE,company,"{""name"": ""ACME""}",,DELETE,company,"{""name"": ""ACME""}",,,assertion,"'company' != 'none'
- company
+ none
 : entity class not correct.
processed_class=None
expected_class=company
user_msg: delete the company whose name is acme"
78,add a new company with name=american beauty and owner=kevin spacey,ADD,new_company,"{""name"": ""American Beauty"", ""owner"": ""Kevin Spacey""}",,ADD,company,"{""name"": ""American Beauty"", ""owner"": ""Kevin Spacey""}",,assertion,assertion,"'company' != 'greeting'
- company
+ greeting
 : entity class not correct.
processed_class=GREETING
expected_class=company
user_msg: add a new company with name=american beauty and owner=kevin spacey"
79,list company names sorted in ascending order,READ,company,"{""names"": ""sorted""}",,READ,company,"{""names"": ""sorted""}",,,assertion,"'company' != 'greeting'
- company
+ greeting
 : entity class not correct.
processed_class=GREETING
expected_class=company
user_msg: list company names sorted in ascending order"
80,list companies sorted by name in ascending order,READ,company,"{""name"": ""ascending""}",,READ,company,"{""name"": ""ascending""}",,,assertion,"'company' != 'greeting'
- company
+ greeting
 : entity class not correct.
processed_class=GREETING
expected_class=company
user_msg: list companies sorted by name in ascending order"
81,add a new company with name=american beauty and owner=janjo chiquim,ADD,new_company,"{""name"": ""American Beauty""}",,ADD,company,"{""name"": ""American Beauty"", ""owner"": ""janjo chiquim""}",,assertion,assertion,"'company' != 'greeting'
- company
+ greeting
 : entity class not correct.
processed_class=GREETING
expected_class=company
user_msg: add a new company with name=american beauty and owner=janjo chiquim"
82,add a new company with name=american beauty and owner=roger rommel,ADD,new_company,"{""name"": ""American Beauty"", ""owner"": ""Roger Rommel""}",,ADD,company,"{""name"": ""American Beauty"", ""owner"": ""Roger Rommel""}",,assertion,assertion,"'company' != 'greeting'
- company
+ greeting
 : entity class not correct.
processed_class=GREETING
expected_class=company
user_msg: add a new company with name=american beauty and owner=roger rommel"
83,"list companies, sort by name",READ,company,"{""sort"": ""by name""}",,READ,company,"{""sort"": ""by name""}",,,assertion,"'company' != 'greeting'
- company
+ greeting
 : entity class not correct.
processed_class=GREETING
expected_class=company
user_msg: list companies, sort by name"
84,list all companies,READ,company,,,READ,company,,,,assertion,"'company' != 'greeting'
- company
+ greeting
 : entity class not correct.
processed_class=GREETING
expected_class=company
user_msg: list all companies"
85,show all companies,READ,company,,,READ,company,,,,assertion,"'company' != 'greeting'
- company
+ greeting
 : entity class not correct.
processed_class=GREETING
expected_class=company
user_msg: show all companies"
86,add company with name=roger arrombado,ADD,company,"{""name"": ""Roger Arrombado""}",,ADD,company,"{""name"": ""Roger Arrombado""}",,,assertion,"'company' != 'greeting'
- company
+ greeting
 : entity class not correct.
processed_class=GREETING
expected_class=company
user_msg: add company with name=roger arrombado"
87,get companies,READ,company,,,READ,company,,,,assertion,"'company' != 'greeting'
- company
+ greeting
 : entity class not correct.
processed_class=GREETING
expected_class=company
user_msg: get companies"
88,hello,GREETING,,,,GREETING,,,,,,
89,include a company with name=mimoso construcoes,ADD,company,,,ADD,company,"{""name"": ""Mimoso Construcoes""}",,assertion,assertion,"'company' != 'help'
- company
+ help
 : entity class not correct.
processed_class=HELP
expected_class=company
user_msg: include a company with name=mimoso construcoes"
90,a,MEANINGLESS,,,,MEANINGLESS,,,,,,
91,add company a,ADD,company,,,ADD,company,,,,assertion,"'company' != 'a'
- company
+ a
 : entity class not correct.
processed_class=a
expected_class=company
user_msg: add company a"
92,add article with abstract equal to 'this is a good article',ADD,article,"{""abstract"": ""this is a good article""}",,ADD,article,"{""abstract"": ""this is a good article""}",,,assertion,"'article' != 'greeting'
- article
+ greeting
 : entity class not correct.
processed_class=GREETING
expected_class=article
user_msg: add article with abstract equal to 'this is a good article'"
93,add an article with an abstract equal to 'this is a good article about de human history. the human narratives are around the technology evolution and it's impact on society.',ADD,article,"{""abstract"": ""this is a good article about de human history. The human narratives are around the technology""}",,ADD,article,"{""abstract"": ""this is a good article about de human history. The human narratives are around the technology evolution and it's impact on society.""}",,assertion,general,'NoneType' object has no attribute 'intent'
94,"article - id: 4
title: none
author: none
co_author: none
abstract: this is a good article about d
article - id: 3
title: none
author: none
co_author: none
abstract: this is a good article
article - id: 2
title: title 2
author: rodrigo
co_author: none
abstract: none
------view all
a maximum of 10  registers are shown, ordered by the newest updated ones.
apply filters to a more accurate search.",READ,article_id,"{""article_id"": ""None"", ""author"": ""None"", ""co"": ""None"", ""abstract"": ""None""}",,MEANINGLESS,,,,assertion,,
95,"dome:
article - id: 4
title: none
author: none
co_author: none
abstract: this is a good article about d
article - id: 3
title: none
author: none
co_author: none
abstract: this is a good article
article - id: 2
title: title 2
author: rodrigo
co_author: none
abstract: none
------view all
a maximum of 10  registers are shown, ordered by the newest updated ones.
apply filters to a more accurate search.

i'm a bot that allows you to add your information using natural language. like a traditional system, 
    but more accessible and flexible. 
for instance, to register a student, say 'add student with gender=female, 
    name=mary, email=mary@school.com' or 'delete student name=mary'.

amg:
article - id: 4
title: none
author: none
co_author: none
abstract: this is a good article about d
article - id: 3
title: none
author: none
co_author: none
abstract: this is a good article
article - id: 2
title: title 2
author: rodrigo
co_author: none
abstract: none
------view all
a maximum of 10  registers are shown, ordered by the newest updated ones.
apply filters to a more accurate search.",READ,article_id,"{""dome"": ""article"", ""article_id"": ""article"", ""d"": ""article""}",,MEANINGLESS,article_id,"{""dome"": ""article"", ""article_id"": ""article"", ""d"": ""article""}",,assertion,assertion,"'article_id' != 'none'
- article_id
+ none
 : entity class not correct.
processed_class=None
expected_class=article_id
user_msg: dome:
article - id: 4
title: none
author: none
co_author: none
abstract: this is a good article about d
article - id: 3
title: none
author: none
co_author: none
abstract: this is a good article
article - id: 2
title: title 2
author: rodrigo
co_author: none
abstract: none
------view all
a maximum of 10  registers are shown, ordered by the newest updated ones.
apply filters to a more accurate search.

i'm a bot that allows you to add your information using natural language. like a traditional system, 
    but more accessible and flexible. 
for instance, to register a student, say 'add student with gender=female, 
    name=mary, email=mary@school.com' or 'delete student name=mary'.

amg:
article - id: 4
title: none
author: none
co_author: none
abstract: this is a good article about d
article - id: 3
title: none
author: none
co_author: none
abstract: this is a good article
article - id: 2
title: title 2
author: rodrigo
co_author: none
abstract: none
------view all
a maximum of 10  registers are shown, ordered by the newest updated ones.
apply filters to a more accurate search."
96,add a student with name mary,ADD,student,"{""name"": ""Mary""}",,ADD,student,"{""name"": ""Mary""}",,,assertion,"'student' != 'none'
- student
+ none
 : entity class not correct.
processed_class=None
expected_class=student
user_msg: add a student with name mary"
97,👍,MEANINGLESS,,,,MEANINGLESS,,,,,assertion,"<Intent.MEANINGLESS: 'MEANINGLESS'> != <Intent.GREETING: 'GREETING'> : intent not correct.
processed_intent = GREETING
expected_intent = MEANINGLESS
user_msg: 👍"
98,add student 👍,ADD,student,,,ADD,student,,,,assertion,"'student' != 'greeting'
- student
+ greeting
 : entity class not correct.
processed_class=GREETING
expected_class=student
user_msg: add student 👍"
99,😱😱😒💋💋😭😢😝😳😳😳😜,MEANINGLESS,,,,MEANINGLESS,,,,,assertion,"<Intent.MEANINGLESS: 'MEANINGLESS'> != <Intent.GREETING: 'GREETING'> : intent not correct.
processed_intent = GREETING
expected_intent = MEANINGLESS
user_msg: 😱😱😒💋💋😭😢😝😳😳😳😜"
100,😆😆😇😇😇,MEANINGLESS,,,,MEANINGLESS,,,,,assertion,"<Intent.MEANINGLESS: 'MEANINGLESS'> != <Intent.GREETING: 'GREETING'> : intent not correct.
processed_intent = GREETING
expected_intent = MEANINGLESS
user_msg: 😆😆😇😇😇"
