id,user_msg,processed_intent,processed_class,processed_attributes,processed_filter_attributes,expected_intent,expected_class,expected_attributes,expected_filter_attributes,evaluation1_error_type,evaluation2_error_type,evaluation2_error_description
11,cancel,CANCELLATION,,,,CANCELLATION,,,,,,
12,bla bla bla,MEANINGLESS,,,,MEANINGLESS,,,,,assertion,"<Intent.MEANINGLESS: 'MEANINGLESS'> != <Intent.GREETING: 'GREETING'> : intent not correct.
processed_intent = GREETING
expected_intent = MEANINGLESS
user_msg: bla bla bla"
13,"please, cancel",CANCELLATION,,,,CANCELLATION,,,,,,
14,get students with name anderson,READ,student,"{""name"": ""anderson""}",,READ,student,"{""name"": ""anderson""}",,,assertion,"""{'name': 'anderson'}"" != 'none'
- {'name': 'anderson'}
+ none
 : attributes not correct.
processed_attributes=none
expected_attributes={'name': 'anderson'}
user_msg: get students with name anderson"
15,show me the teachers,READ,teacher,,,READ,teacher,,,,,
16,show teachers,READ,teacher,,,READ,teacher,,,,,
17,show teacher,READ,teacher,,,READ,teacher,,,,,
18,123456789133 $%^&*(),MEANINGLESS,,,,MEANINGLESS,,,,,assertion,"<Intent.MEANINGLESS: 'MEANINGLESS'> != <Intent.GREETING: 'GREETING'> : intent not correct.
processed_intent = GREETING
expected_intent = MEANINGLESS
user_msg: 123456789133 $%^&*()"
19,"please, the god is god!",MEANINGLESS,,,,MEANINGLESS,,,,,assertion,"<Intent.MEANINGLESS: 'MEANINGLESS'> != <Intent.GREETING: 'GREETING'> : intent not correct.
processed_intent = GREETING
expected_intent = MEANINGLESS
user_msg: please, the god is god!"
20,crazy message 12334,MEANINGLESS,,,,MEANINGLESS,,,,,assertion,"<Intent.MEANINGLESS: 'MEANINGLESS'> != <Intent.GREETING: 'GREETING'> : intent not correct.
processed_intent = GREETING
expected_intent = MEANINGLESS
user_msg: crazy message 12334"
21,"include outcome value 900, date is today, and description is ""adjusting the numbers""",ADD,outcome,"{""value"": ""900"", ""date"": ""today"", ""description"": ""adjusting the numbers""}",,ADD,outcome,"{""value"": ""900"", ""date"": ""today"", ""description"": ""adjusting the numbers""}",,,assertion,"""{'value': '900', 'date': 'today', 'description': 'adjusting the numbers'}"" != 'none'
- {'value': '900', 'date': 'today', 'description': 'adjusting the numbers'}
+ none
 : attributes not correct.
processed_attributes=none
expected_attributes={'value': '900', 'date': 'today', 'description': 'adjusting the numbers'}
user_msg: include outcome value 900, date is today, and description is ""adjusting the numbers"""
22,get invoices,READ,invoice,,,READ,invoice,,,,,
23,"add a test with scope=module x, date=01/01/2022, timeout = 100, limit=10",ADD,test,"{""scope"": ""Module X"", ""date"": ""01/01/2022"", ""timeout"": ""100"", ""limit"": ""10""}",,ADD,test,"{""scope"": ""Module X"", ""date"": ""01/01/2022"", ""timeout"": ""100"", ""limit"": ""10""}",,,assertion,"""{'scope': 'module x', 'date': '01/01/2022', 'timeout': '100', 'limit': '10'}"" != 'none'
- {'scope': 'module x', 'date': '01/01/2022', 'timeout': '100', 'limit': '10'}
+ none
 : attributes not correct.
processed_attributes=none
expected_attributes={'scope': 'module x', 'date': '01/01/2022', 'timeout': '100', 'limit': '10'}
user_msg: add a test with scope=module x, date=01/01/2022, timeout = 100, limit=10"
24,add a test with scope=module y and number = 8,ADD,test,"{""scope"": ""Module Y"", ""number"": ""8""}",,ADD,test,"{""scope"": ""Module Y"", ""number"": ""8""}",,,assertion,"""{'scope': 'module y', 'number': '8'}"" != 'none'
- {'scope': 'module y', 'number': '8'}
+ none
 : attributes not correct.
processed_attributes=none
expected_attributes={'scope': 'module y', 'number': '8'}
user_msg: add a test with scope=module y and number = 8"
25,"add student with name=anderson, age=199",ADD,student,"{""name"": ""Anderson"", ""age"": ""199""}",,ADD,student,"{""name"": ""Anderson"", ""age"": ""199""}",,,assertion,"""{'name': 'anderson', 'age': '199'}"" != 'none'
- {'name': 'anderson', 'age': '199'}
+ none
 : attributes not correct.
processed_attributes=none
expected_attributes={'name': 'anderson', 'age': '199'}
user_msg: add student with name=anderson, age=199"
26,"delete student name is anderson, and age is 199",DELETE,student,"{""name"": ""Anderson"", ""age"": ""199""}",,DELETE,student,"{""name"": ""Anderson"", ""age"": ""199""}",,,assertion,"""{'name': 'anderson', 'age': '199'}"" != 'none'
- {'name': 'anderson', 'age': '199'}
+ none
 : attributes not correct.
processed_attributes=none
expected_attributes={'name': 'anderson', 'age': '199'}
user_msg: delete student name is anderson, and age is 199"
27,"add article with title=the title, author=the author",ADD,article,"{""title"": ""The title"", ""author"": ""The author""}",,ADD,article,"{""title"": ""The title"", ""author"": ""The author""}",,,assertion,"""{'title': 'the title', 'author': 'the author'}"" != 'none'
- {'title': 'the title', 'author': 'the author'}
+ none
 : attributes not correct.
processed_attributes=none
expected_attributes={'title': 'the title', 'author': 'the author'}
user_msg: add article with title=the title, author=the author"
28,"update article with title ""the title"" and author ""the author"" set the title to ""the new title""",UPDATE,article,"{""title"": ""The new title""}","{""title"": ""The title"", ""author"": ""The author""}",UPDATE,article,"{""title"": ""The new title""}","{""title"": ""The title"", ""author"": ""The author""}",,assertion,"""{'title': 'the new title'}"" != 'none'
- {'title': 'the new title'}
+ none
 : attributes not correct.
processed_attributes=none
expected_attributes={'title': 'the new title'}
user_msg: update article with title ""the title"" and author ""the author"" set the title to ""the new title"""
29,add article with author=anderson,ADD,article,"{""author"": ""Anderson""}",,ADD,article,"{""author"": ""Anderson""}",,,assertion,"""{'author': 'anderson'}"" != 'none'
- {'author': 'anderson'}
+ none
 : attributes not correct.
processed_attributes=none
expected_attributes={'author': 'anderson'}
user_msg: add article with author=anderson"
30,"delete article when author=""anderson""",DELETE,article,"{""author"": ""Anderson""}",,DELETE,article,"{""author"": ""Anderson""}",,,assertion,"""{'author': 'anderson'}"" != 'none'
- {'author': 'anderson'}
+ none
 : attributes not correct.
processed_attributes=none
expected_attributes={'author': 'anderson'}
user_msg: delete article when author=""anderson"""
31,show me the articles,READ,article,,,READ,article,,,,,
32,"add article with title=the title, author=the author, abstract=the abstract, keywords=the keywords",ADD,article,"{""title"": ""The title"", ""author"": ""The author"", ""abstract"": ""The abstract"", ""keywords"": ""The keywords""}",,ADD,article,"{""title"": ""The title"", ""author"": ""The author"", ""abstract"": ""The abstract"", ""keywords"": ""The keywords""}",,,assertion,"""{'title': 'the title', 'author': 'the au[58 chars]ds'}"" != 'none'
- {'title': 'the title', 'author': 'the author', 'abstract': 'the abstract', 'keywords': 'the keywords'}
+ none
 : attributes not correct.
processed_attributes=none
expected_attributes={'title': 'the title', 'author': 'the author', 'abstract': 'the abstract', 'keywords': 'the keywords'}
user_msg: add article with title=the title, author=the author, abstract=the abstract, keywords=the keywords"
33,"update article with title ""the title"", setting the co-author as ""anderson gomes""",UPDATE,article,"{""co_author"": ""Anderson Gomes""}","{""title"": ""The title""}",UPDATE,article,"{""co_author"": ""Anderson Gomes""}","{""title"": ""The title""}",,general,'NoneType' object has no attribute 'intent'
34,"update article with id=1, setting the first author as ""paulo maia""",UPDATE,article,"{""first_author"": ""Paulo Maia""}","{""id"": ""1""}",UPDATE,article,"{""first_author"": ""Paulo Maia""}","{""id"": ""1""}",,assertion,"""{'first_author': 'paulo maia'}"" != 'none'
- {'first_author': 'paulo maia'}
+ none
 : attributes not correct.
processed_attributes=none
expected_attributes={'first_author': 'paulo maia'}
user_msg: update article with id=1, setting the first author as ""paulo maia"""
35,hi,GREETING,,,,GREETING,,,,,,
36,hello! nice to meet you!,GREETING,,,,GREETING,,,,,assertion,"<Intent.GREETING: 'GREETING'> != <Intent.READ: 'READ'> : intent not correct.
processed_intent = READ
expected_intent = GREETING
user_msg: hello! nice to meet you!"
37,good morning!,GREETING,,,,GREETING,,,,,general,Timeout in MsgParser
38,help,HELP,,,,HELP,,,,,,
39,i want to know how to use the bot,HELP,,,,HELP,,,,,assertion,"<Intent.HELP: 'HELP'> != <Intent.GREETING: 'GREETING'> : intent not correct.
processed_intent = GREETING
expected_intent = HELP
user_msg: i want to know how to use the bot"
40,"please, help me!",HELP,,,,HELP,,,,,,
41,show all students,READ,student,,,READ,student,,,,,
42,view students,READ,student,,,READ,student,,,,,
43,fetch the students,READ,student,,,READ,student,,,,,
44,get the students,READ,student,,,READ,student,,,,,
45,"for the students with name='anderson', update the name to 'anderson martins'",UPDATE,student,"{""name"": ""Anderson Martins""}","{""name"": ""Anderson""}",UPDATE,student,"{""name"": ""Anderson Martins""}","{""name"": ""Anderson""}",,general,'NoneType' object has no attribute 'intent'
46,please change student with name paulo update age to 30,UPDATE,student,"{""age"": ""30""}","{""name"": ""Paulo""}",UPDATE,student,"{""age"": ""30""}","{""name"": ""Paulo""}",,general,'NoneType' object has no attribute 'intent'
47,"for students with name anderson, update age to 30",UPDATE,student,"{""age"": ""30""}","{""name"": ""Anderson""}",UPDATE,student,"{""age"": ""30""}","{""name"": ""Anderson""}",,general,'NoneType' object has no attribute 'intent'
48,"for students, update age to 30",UPDATE,student,,,UPDATE,student,,,,general,'NoneType' object has no attribute 'intent'
49,update students,UPDATE,student,,,UPDATE,student,,,,general,'NoneType' object has no attribute 'intent'
50,"please, when students have the name equal to anderson, update the age to 30.",UPDATE,student,"{""age"": ""30""}","{""name"": ""Anderson""}",UPDATE,student,"{""age"": ""30""}","{""name"": ""Anderson""}",,general,'NoneType' object has no attribute 'intent'
51,update students setting the age to 42 when name is anderson,UPDATE,student,"{""age"": ""42""}","{""name"": ""Anderson""}",UPDATE,student,"{""age"": ""42""}","{""name"": ""Anderson""}",,general,'NoneType' object has no attribute 'intent'
52,update students set the age to 42 when name is anderson,UPDATE,student,"{""age"": ""42""}","{""name"": ""Anderson""}",UPDATE,student,"{""age"": ""42""}","{""name"": ""Anderson""}",,general,'NoneType' object has no attribute 'intent'
53,set students with age to 42 when name is anderson,UPDATE,student,"{""age"": ""42""}","{""name"": ""Anderson""}",UPDATE,student,"{""age"": ""42""}","{""name"": ""Anderson""}",,general,'NoneType' object has no attribute 'intent'
54,"for students with name anderson, update the age to 42",UPDATE,student,"{""age"": ""42""}","{""name"": ""Anderson""}",UPDATE,student,"{""age"": ""42""}","{""name"": ""Anderson""}",,general,'NoneType' object has no attribute 'intent'
55,please change student with name anderson update age to 30,UPDATE,student,"{""age"": ""30""}","{""name"": ""Anderson""}",UPDATE,student,"{""age"": ""30""}","{""name"": ""Anderson""}",,general,'NoneType' object has no attribute 'intent'
56,"please, change the student with name='anderson', updating the age to 30",UPDATE,student,"{""age"": ""30""}","{""name"": ""Anderson""}",UPDATE,student,"{""age"": ""30""}","{""name"": ""Anderson""}",,general,'NoneType' object has no attribute 'intent'
57,"update the age to 42, for students with name='anderson'",UPDATE,student,"{""age"": ""42""}","{""name"": ""Anderson""}",UPDATE,student,"{""age"": ""42""}","{""name"": ""Anderson""}",,general,'NoneType' object has no attribute 'intent'
58,add a student with name joseph,ADD,student,"{""name"": ""Joseph""}",,ADD,student,"{""name"": ""Joseph""}",,,assertion,"""{'name': 'joseph'}"" != 'none'
- {'name': 'joseph'}
+ none
 : attributes not correct.
processed_attributes=none
expected_attributes={'name': 'joseph'}
user_msg: add a student with name joseph"
59,get students,READ,student,,,READ,student,,,,,
60,help me,HELP,,,,HELP,,,,,,
61,hi!,GREETING,,,,GREETING,,,,,,
62,add article with title 'dome: a no-code tool',ADD,article,"{""title"": ""DomE: A no-code tool""}",,ADD,article,"{""title"": ""DomE: A no-code tool""}",,,assertion,"'article' != 'the_entity_class_that_the_user_s_message_refers_to_is_article'
- article
+ the_entity_class_that_the_user_s_message_refers_to_is_article
 : entity class not correct.
processed_class=the_entity_class_that_the_user_s_message_refers_to_is_article
expected_class=article
user_msg: add article with title 'dome: a no-code tool'"
63,get articles,READ,article,,,READ,article,,,,,
64,"update the articles with id=1, setting the title='new title'",UPDATE,article,"{""title"": ""new title""}","{""id"": ""1""}",UPDATE,article,"{""title"": ""new title""}","{""id"": ""1""}",,assertion,"'article' != 'none'
- article
+ none
 : entity class not correct.
processed_class=none
expected_class=article
user_msg: update the articles with id=1, setting the title='new title'"
65,"add article with title='title 2', author='rodrigo'",ADD,article,"{""title"": ""title 2"", ""author"": ""Rodrigo""}",,ADD,article,"{""title"": ""title 2"", ""author"": ""Rodrigo""}",,,assertion,"""{'title': 'title 2', 'author': 'rodrigo'}"" != 'none'
- {'title': 'title 2', 'author': 'rodrigo'}
+ none
 : attributes not correct.
processed_attributes=none
expected_attributes={'title': 'title 2', 'author': 'rodrigo'}
user_msg: add article with title='title 2', author='rodrigo'"
66,"update the articles with id=1, setting the co-author='layza'",UPDATE,article,"{""co_author"": ""Layza""}","{""id"": ""1""}",UPDATE,article,"{""co_author"": ""Layza""}","{""id"": ""1""}",,assertion,"""{'co_author': 'layza'}"" != 'none'
- {'co_author': 'layza'}
+ none
 : attributes not correct.
processed_attributes=none
expected_attributes={'co_author': 'layza'}
user_msg: update the articles with id=1, setting the co-author='layza'"
67,delete the article with id=1,DELETE,article,"{""id"": ""1""}",,DELETE,article,"{""id"": ""1""}",,,assertion,"""{'id': '1'}"" != 'none'
- {'id': '1'}
+ none
 : attributes not correct.
processed_attributes=none
expected_attributes={'id': '1'}
user_msg: delete the article with id=1"
68,jsdakflçdjskflsjfklsa,MEANINGLESS,,,,MEANINGLESS,,,,,assertion,"<Intent.MEANINGLESS: 'MEANINGLESS'> != <Intent.GREETING: 'GREETING'> : intent not correct.
processed_intent = GREETING
expected_intent = MEANINGLESS
user_msg: jsdakflçdjskflsjfklsa"
69,can you help me?,HELP,,,,HELP,,,,,,
70,add a student with age=45,ADD,student,"{""age"": ""45""}",,ADD,student,"{""age"": ""45""}",,,assertion,"""{'age': '45'}"" != 'none'
- {'age': '45'}
+ none
 : attributes not correct.
processed_attributes=none
expected_attributes={'age': '45'}
user_msg: add a student with age=45"
71,show students,READ,student,,,READ,student,,,,,
72,"include company with name=acme, address=150 coconut street",ADD,company,"{""name"": ""ACME"", ""address"": ""150 Coconut Street""}",,ADD,company,"{""name"": ""ACME"", ""address"": ""150 Coconut Street""}",,,assertion,"""{'name': 'acme', 'address': '150 coconut street'}"" != 'none'
- {'name': 'acme', 'address': '150 coconut street'}
+ none
 : attributes not correct.
processed_attributes=none
expected_attributes={'name': 'acme', 'address': '150 coconut street'}
user_msg: include company with name=acme, address=150 coconut street"
73,list companies,READ,company,,,READ,company,,,,,
74,"add another company with name=caju enterprises, owner=anderson gomes and address=200 cumbuco street",ADD,company,"{""name"": ""Caju Enterprises"", ""owner"": ""Anderson Gomes"", ""address"": ""200 Cumbuco Street""}",,ADD,company,"{""name"": ""Caju Enterprises"", ""owner"": ""Anderson Gomes"", ""address"": ""200 Cumbuco Street""}",,,assertion,"""{'name': 'caju enterprises', 'owner': 'a[44 chars]et'}"" != 'none'
- {'name': 'caju enterprises', 'owner': 'anderson gomes', 'address': '200 cumbuco street'}
+ none
 : attributes not correct.
processed_attributes=none
expected_attributes={'name': 'caju enterprises', 'owner': 'anderson gomes', 'address': '200 cumbuco street'}
user_msg: add another company with name=caju enterprises, owner=anderson gomes and address=200 cumbuco street"
75,which company has caju in its name?,MEANINGLESS,,,,READ,company,"{""name"": ""caju""}",,assertion,assertion,"<Intent.READ: 'READ'> != <Intent.HELP: 'HELP'> : intent not correct.
processed_intent = HELP
expected_intent = READ
user_msg: which company has caju in its name?"
76,"is there a company with ""caju"" in its name?",READ,company,,,READ,company,"{""name"": ""caju""}",,assertion,assertion,"<Intent.READ: 'READ'> != <Intent.MEANINGLESS: 'MEANINGLESS'> : intent not correct.
processed_intent = MEANINGLESS
expected_intent = READ
user_msg: is there a company with ""caju"" in its name?"
77,delete the company whose name is acme,DELETE,company,"{""name"": ""ACME""}",,DELETE,company,"{""name"": ""ACME""}",,,assertion,"""{'name': 'acme'}"" != 'none'
- {'name': 'acme'}
+ none
 : attributes not correct.
processed_attributes=none
expected_attributes={'name': 'acme'}
user_msg: delete the company whose name is acme"
78,add a new company with name=american beauty and owner=kevin spacey,ADD,new_company,"{""name"": ""American Beauty"", ""owner"": ""Kevin Spacey""}",,ADD,company,"{""name"": ""American Beauty"", ""owner"": ""Kevin Spacey""}",,assertion,assertion,"'company' != 'new_company'
- company
+ new_company
? ++++
 : entity class not correct.
processed_class=new_company
expected_class=company
user_msg: add a new company with name=american beauty and owner=kevin spacey"
79,list company names sorted in ascending order,READ,company,"{""names"": ""sorted""}",,READ,company,"{""names"": ""sorted""}",,,assertion,"'company' != 'company_names_sorted_in_ascending_order'
- company
+ company_names_sorted_in_ascending_order
 : entity class not correct.
processed_class=company_names_sorted_in_ascending_order
expected_class=company
user_msg: list company names sorted in ascending order"
80,list companies sorted by name in ascending order,READ,company,"{""name"": ""ascending""}",,READ,company,"{""name"": ""ascending""}",,,assertion,"""{'name': 'ascending'}"" != 'none'
- {'name': 'ascending'}
+ none
 : attributes not correct.
processed_attributes=none
expected_attributes={'name': 'ascending'}
user_msg: list companies sorted by name in ascending order"
81,add a new company with name=american beauty and owner=janjo chiquim,ADD,new_company,"{""name"": ""American Beauty""}",,ADD,company,"{""name"": ""American Beauty"", ""owner"": ""janjo chiquim""}",,assertion,assertion,"'company' != 'none'
- company
+ none
 : entity class not correct.
processed_class=none
expected_class=company
user_msg: add a new company with name=american beauty and owner=janjo chiquim"
82,add a new company with name=american beauty and owner=roger rommel,ADD,new_company,"{""name"": ""American Beauty"", ""owner"": ""Roger Rommel""}",,ADD,company,"{""name"": ""American Beauty"", ""owner"": ""Roger Rommel""}",,assertion,assertion,"'company' != 'none'
- company
+ none
 : entity class not correct.
processed_class=none
expected_class=company
user_msg: add a new company with name=american beauty and owner=roger rommel"
83,"list companies, sort by name",READ,company,"{""sort"": ""by name""}",,READ,company,"{""sort"": ""by name""}",,,assertion,"""{'sort': 'by name'}"" != 'none'
- {'sort': 'by name'}
+ none
 : attributes not correct.
processed_attributes=none
expected_attributes={'sort': 'by name'}
user_msg: list companies, sort by name"
84,list all companies,READ,company,,,READ,company,,,,,
85,show all companies,READ,company,,,READ,company,,,,,
86,add company with name=roger arrombado,ADD,company,"{""name"": ""Roger Arrombado""}",,ADD,company,"{""name"": ""Roger Arrombado""}",,,assertion,"""{'name': 'roger arrombado'}"" != 'none'
- {'name': 'roger arrombado'}
+ none
 : attributes not correct.
processed_attributes=none
expected_attributes={'name': 'roger arrombado'}
user_msg: add company with name=roger arrombado"
87,get companies,READ,company,,,READ,company,,,,,
88,hello,GREETING,,,,GREETING,,,,,,
89,include a company with name=mimoso construcoes,ADD,company,,,ADD,company,"{""name"": ""Mimoso Construcoes""}",,assertion,assertion,"""{'name': 'mimoso construcoes'}"" != 'none'
- {'name': 'mimoso construcoes'}
+ none
 : attributes not correct.
processed_attributes=none
expected_attributes={'name': 'mimoso construcoes'}
user_msg: include a company with name=mimoso construcoes"
90,a,MEANINGLESS,,,,MEANINGLESS,,,,,assertion,"<Intent.MEANINGLESS: 'MEANINGLESS'> != <Intent.GREETING: 'GREETING'> : intent not correct.
processed_intent = GREETING
expected_intent = MEANINGLESS
user_msg: a"
91,add company a,ADD,company,,,ADD,company,,,,,
92,add article with abstract equal to 'this is a good article',ADD,article,"{""abstract"": ""this is a good article""}",,ADD,article,"{""abstract"": ""this is a good article""}",,,assertion,"""{'abstract': 'this is a good article'}"" != 'none'
- {'abstract': 'this is a good article'}
+ none
 : attributes not correct.
processed_attributes=none
expected_attributes={'abstract': 'this is a good article'}
user_msg: add article with abstract equal to 'this is a good article'"
93,add an article with an abstract equal to 'this is a good article about de human history. the human narratives are around the technology evolution and it's impact on society.',ADD,article,"{""abstract"": ""this is a good article about de human history. The human narratives are around the technology""}",,ADD,article,"{""abstract"": ""this is a good article about de human history. The human narratives are around the technology evolution and it's impact on society.""}",,assertion,assertion,"'{\'abstract\': ""this is a good article ab[105 chars]y.""}' != 'none'
- {'abstract': ""this is a good article about de human history. the human narratives are around the technology evolution and it's impact on society.""}
+ none
 : attributes not correct.
processed_attributes=none
expected_attributes={'abstract': ""this is a good article about de human history. the human narratives are around the technology evolution and it's impact on society.""}
user_msg: add an article with an abstract equal to 'this is a good article about de human history. the human narratives are around the technology evolution and it's impact on society.'"
94,"article - id: 4
title: none
author: none
co_author: none
abstract: this is a good article about d
article - id: 3
title: none
author: none
co_author: none
abstract: this is a good article
article - id: 2
title: title 2
author: rodrigo
co_author: none
abstract: none
------view all
a maximum of 10  registers are shown, ordered by the newest updated ones.
apply filters to a more accurate search.",READ,article_id,"{""article_id"": ""None"", ""author"": ""None"", ""co"": ""None"", ""abstract"": ""None""}",,MEANINGLESS,,,,assertion,,
95,"dome:
article - id: 4
title: none
author: none
co_author: none
abstract: this is a good article about d
article - id: 3
title: none
author: none
co_author: none
abstract: this is a good article
article - id: 2
title: title 2
author: rodrigo
co_author: none
abstract: none
------view all
a maximum of 10  registers are shown, ordered by the newest updated ones.
apply filters to a more accurate search.

i'm a bot that allows you to add your information using natural language. like a traditional system, 
    but more accessible and flexible. 
for instance, to register a student, say 'add student with gender=female, 
    name=mary, email=mary@school.com' or 'delete student name=mary'.

amg:
article - id: 4
title: none
author: none
co_author: none
abstract: this is a good article about d
article - id: 3
title: none
author: none
co_author: none
abstract: this is a good article
article - id: 2
title: title 2
author: rodrigo
co_author: none
abstract: none
------view all
a maximum of 10  registers are shown, ordered by the newest updated ones.
apply filters to a more accurate search.",READ,article_id,"{""dome"": ""article"", ""article_id"": ""article"", ""d"": ""article""}",,MEANINGLESS,article_id,"{""dome"": ""article"", ""article_id"": ""article"", ""d"": ""article""}",,assertion,assertion,"'article_id' != 'none'
- article_id
+ none
 : entity class not correct.
processed_class=none
expected_class=article_id
user_msg: dome:
article - id: 4
title: none
author: none
co_author: none
abstract: this is a good article about d
article - id: 3
title: none
author: none
co_author: none
abstract: this is a good article
article - id: 2
title: title 2
author: rodrigo
co_author: none
abstract: none
------view all
a maximum of 10  registers are shown, ordered by the newest updated ones.
apply filters to a more accurate search.

i'm a bot that allows you to add your information using natural language. like a traditional system, 
    but more accessible and flexible. 
for instance, to register a student, say 'add student with gender=female, 
    name=mary, email=mary@school.com' or 'delete student name=mary'.

amg:
article - id: 4
title: none
author: none
co_author: none
abstract: this is a good article about d
article - id: 3
title: none
author: none
co_author: none
abstract: this is a good article
article - id: 2
title: title 2
author: rodrigo
co_author: none
abstract: none
------view all
a maximum of 10  registers are shown, ordered by the newest updated ones.
apply filters to a more accurate search."
96,add a student with name mary,ADD,student,"{""name"": ""Mary""}",,ADD,student,"{""name"": ""Mary""}",,,assertion,"""{'name': 'mary'}"" != 'none'
- {'name': 'mary'}
+ none
 : attributes not correct.
processed_attributes=none
expected_attributes={'name': 'mary'}
user_msg: add a student with name mary"
97,👍,MEANINGLESS,,,,MEANINGLESS,,,,,assertion,"<Intent.MEANINGLESS: 'MEANINGLESS'> != <Intent.GREETING: 'GREETING'> : intent not correct.
processed_intent = GREETING
expected_intent = MEANINGLESS
user_msg: 👍"
98,add student 👍,ADD,student,,,ADD,student,,,,,
99,😱😱😒💋💋😭😢😝😳😳😳😜,MEANINGLESS,,,,MEANINGLESS,,,,,,
100,😆😆😇😇😇,MEANINGLESS,,,,MEANINGLESS,,,,,,
